Marca,Modelo / Ano,Classe & IP Original,Peso de Fábrica (kg),Potência de Fábrica (CV/HP),Distribuição Dianteira (%),opção 2 
Abarth,Abarth Fiat 131 de 1980,D 399,1010,140 cv,53%,RWD
Abarth,Abarth 695 Biposto 2016,B 540,997,190 cv,64%,FWD
Abarth,Abarth 124 Spider 2017,C 450,1060,170 cv,51%,RWD
Abarth,1968 Abarth 595 esseesse,D 100,535,32 cv,38%,RWD
Acura,Acura RSX Type S 2002,C 462,1256,200 cv,61%,FWD
Acura,Acura NSX Tipo S 2022,S1 734,1754,600 cv,42%,AWD
Acura,Acura Integra Type R 2001,C 471,1180,195 cv,62%,FWD
Acura,Acura Integra A-Spec 2023,C 484,1394,200 cv,60%,FWD
Alfa Romeo,Alfa Romeo SE 048SP de 1990,R 978,820,600 cv,43%,RWD
Alfa Romeo,Alfa Romeo Giulia TZ2 de 1965,B 532,620,170 cv,48%,RWD
Alfa Romeo,Alfa Romeo Giulia Sprint GTA Stradale 1965,D 379,740,113 cv,53%,RWD
Alfa Romeo,Alfa Romeo Giulia Quadrifoglio 2017,A 667,1580,505 cv,53%,RWD
Alfa Romeo,Alfa Romeo Giulia GTAm 2021,S1 711,1520,532 cv,50%,RWD
Alfa Romeo,Alfa Romeo Autodelta Tipo 33/2 Daytona 1968,A 696,580,270 cv,42%,RWD
Alfa Romeo,Alfa Romeo 4C 2014,A 644,1020,237 cv,41%,RWD
Alfa Romeo,Alfa Romeo 33 Stradale 1968,B 593,700,230 cv,48%,RWD
Alfa Romeo,Alfa Romeo 155 Q4 de 1992,C 439,1370,187 cv,60%,AWD
Alfa Romeo,2007 Alfa Romeo 8C Competizione,A 635,1585,444 cv,52%,RWD
Alumicraft,Carro de Corrida Alumicraft Classe 10 2015,B 532,975,195 cv,42%,RWD
Alumicraft,Caminhonete Trucada Alumicraft #6165 2022,C 485,2155,525 cv,45%,RWD
Alumicraft,Alumicraft #122 Buggy Classe 1 2021,B 571,1588,625 cv,38%,RWD
Apollo,2019 Apollo Intensa Emozione,R 916,1250,780 cv,43%,RWD
Ariel,Ariel Atom 500 V8 2013,S2 825,650,475 cv,42%,RWD
Ariel,2016 Ariel Nomad,A 601,670,235 cv,39%,RWD
Aston Martin,Aston Martin Vulcan AMR Pro 2017,S2 898,1350,820 cv,49%,RWD
Aston Martin,Aston Martin Vulcan 2016,S2 884,1350,820 cv,49%,RWD
Aston Martin,Aston Martin Vantage 2019,A 696,1530,503 cv,50%,RWD
Aston Martin,Aston Martin Valkyrie AMR Pro 2022,R 989,1000,1000 cv,45%,RWD
Aston Martin,Aston Martin Valkyrie 2023,R 924,1095,1139 cv,44%,RWD
Aston Martin,Aston Martin Valhalla Concept Car 2019,R 960,1550,986 cv,42%,AWD
Aston Martin,Aston Martin DBX 2021,A 618,2245,542 cv,54%,AWD
Aston Martin,Aston Martin DBS Superleggera 2019,S1 736,1693,715 cv,51%,RWD
Aston Martin,Aston Martin DB7 GT 2003,B 566,1780,435 cv,54%,RWD
Aston Martin,Aston Martin DB5 de 1964,C 416,1502,282 cv,50%,RWD
Aston Martin,Aston Martin DB11 2017,A 679,1770,600 cv,51%,RWD
Audi,Audi R8 V10 Performance 2020,S1 738,1595,612 cv,43%,AWD
Audi,Audi TT RS Coupé 2010,B 593,1450,335 cv,60%,AWD
Audi,Audi Sport quattro de 1984,B 526,1298,302 cv,56%,AWD
Audi,Audi S1 2015,B 527,1315,228 cv,60%,AWD
Audi,Audi RS e-tron GT 2021,A 677,2347,637 cv,50%,AWD
Audi,Audi RS 7 Sportback 2021,A 655,2065,591 cv,56%,AWD
Audi,Audi RS 7 Sportback 2013,A 619,1930,552 cv,56%,AWD
Audi,Audi RS 6 Avant 2021,A 650,2075,591 cv,56%,AWD
Audi,Audi RS 6 Avant 2015,A 640,1950,552 cv,56%,AWD
Audi,Audi RS 6 2009,B 598,1985,572 cv,58%,AWD
Audi,Audi RS 6 2003,B 556,1840,444 cv,59%,AWD
